root_id,primary_type,additional_types,super_class,flow,side,nt_type,nt_type_score
720575940626724414,T4d,,optic,intrinsic,left,GLUT,0.42
720575940645437038,T4a,,optic,intrinsic,left,ACH,0.63
720575940635198815,T4d,,optic,intrinsic,left,ACH,0.62
720575940622474868,AN_multi_124,,ascending,afferent,right,SER,0.65
720575940625018382,T5c,,optic,intrinsic,left,ACH,0.49
720575940632669922,T5d,,optic,intrinsic,left,ACH,0.57
720575940635144555,T5b,,optic,intrinsic,left,ACH,0.54
720575940627652629,T4c,,optic,intrinsic,left,ACH,0.63
720575940632678687,T4c,,optic,intrinsic,left,ACH,0.54
720575940606776706,T5c,,optic,intrinsic,left,ACH,0.61
720575940622284070,T4d,,optic,intrinsic,left,ACH,0.54
720575940607175369,T5b,,optic,intrinsic,left,ACH,0.44
720575940621474486,T5d,,optic,intrinsic,left,ACH,0.45
720575940621641392,T5c,,optic,intrinsic,left,ACH,0.52
720575940629181712,T5a,,optic,intrinsic,left,ACH,0.44
720575940612114906,T4a,,optic,intrinsic,left,,0.0
720575940606862281,T4c,,optic,intrinsic,left,ACH,0.65
720575940624664819,T4c,,optic,intrinsic,left,ACH,0.48
720575940611851413,T5c,,optic,intrinsic,left,ACH,0.54
720575940617702868,T5c,,optic,intrinsic,left,ACH,0.54
720575940632560865,T5d,,optic,intrinsic,left,ACH,0.47
720575940626692389,T4c,,optic,intrinsic,left,ACH,0.53
720575940631264042,T4d,,optic,intrinsic,left,ACH,0.51
720575940606925489,T4d,,optic,intrinsic,left,,0.0
720575940620032336,T5b,,optic,intrinsic,left,ACH,0.5
720575940624213501,T5a,,optic,intrinsic,left,,0.0
720575940627387273,T5c,,optic,intrinsic,left,ACH,0.47
720575940614428071,T5b,,optic,intrinsic,left,ACH,0.67
720575940620018256,T5c,,optic,intrinsic,left,ACH,0.72
720575940624237571,T5a,,optic,intrinsic,left,ACH,0.63
720575940626401573,T5d,,optic,intrinsic,left,ACH,0.54
720575940618257053,T5b,,optic,intrinsic,left,,0.0
720575940619646685,T5a,,optic,intrinsic,left,ACH,0.43
720575940621885556,T5a,,optic,intrinsic,left,ACH,0.68
720575940622767692,T5d,,optic,intrinsic,left,,0.0
720575940626649786,T5d,,optic,intrinsic,left,ACH,0.42
720575940626799356,T4a,,optic,intrinsic,left,ACH,0.56
720575940630272411,T4a,,optic,intrinsic,left,,0.0
720575940630707193,T5a,,optic,intrinsic,left,,0.0
720575940617285265,T5c,,optic,intrinsic,left,ACH,0.8
720575940626834584,T5a,,optic,intrinsic,left,ACH,0.54
720575940630904057,T5b,,optic,intrinsic,left,ACH,0.48
720575940639772760,T4d,,optic,intrinsic,left,ACH,0.53
720575940615686506,T5a,,optic,intrinsic,left,ACH,0.61
720575940616891195,T5c,,optic,intrinsic,left,ACH,0.69
720575940617557794,T5a,,optic,intrinsic,left,,0.0
720575940623720851,T5c,,optic,intrinsic,left,ACH,0.53
720575940626161712,T5b,,optic,intrinsic,left,,0.0
720575940627332233,T5b,,optic,intrinsic,left,ACH,0.42
720575940628716791,T5d,,optic,intrinsic,left,ACH,0.45
720575940641080283,T5a,,optic,intrinsic,left,ACH,0.47
720575940607022722,T4c,,optic,intrinsic,left,ACH,0.68
720575940607049673,T4a,,optic,intrinsic,left,ACH,0.46
720575940607076482,T4d,,optic,intrinsic,left,ACH,0.5
720575940607081346,T5d,,optic,intrinsic,left,ACH,0.55
720575940616537461,T5d,,optic,intrinsic,left,ACH,0.62
720575940619427163,T5d,,optic,intrinsic,left,ACH,0.48
720575940621514166,T5c,,optic,intrinsic,left,,0.0
720575940627866643,T5d,,optic,intrinsic,left,ACH,0.57
720575940607123145,T5d,,optic,intrinsic,left,ACH,0.53
720575940616825275,T5d,,optic,intrinsic,left,ACH,0.43
720575940630204202,T4d,,optic,intrinsic,left,,0.0
720575940607147721,T4c,,optic,intrinsic,left,ACH,0.65
720575940622403361,T5d,,optic,intrinsic,left,,0.0
720575940626236293,T5c,,optic,intrinsic,left,ACH,0.44
720575940636416119,T5d,,optic,intrinsic,left,,0.0
720575940640691408,T5a,,optic,intrinsic,left,ACH,0.55
720575940643905480,T5a,,optic,intrinsic,left,ACH,0.62
720575940620859119,T4a,,optic,intrinsic,left,,0.0
720575940625851536,T5d,,optic,intrinsic,left,ACH,0.61
720575940607219634,T5b,,optic,intrinsic,left,ACH,0.47
720575940614587538,T5d,,optic,intrinsic,left,ACH,0.51
720575940615488834,T4d,,optic,intrinsic,left,ACH,0.56
720575940612258929,T4d,,optic,intrinsic,left,ACH,0.58
720575940620393521,T4a,,optic,intrinsic,left,ACH,0.52
720575940623972076,T4d,,optic,intrinsic,left,ACH,0.54
720575940629485765,T5c,,optic,intrinsic,left,ACH,0.67
720575940630109660,T5c,,optic,intrinsic,left,ACH,0.58
720575940607288265,T5d,,optic,intrinsic,left,,0.0
720575940631484411,T4d,,optic,intrinsic,left,ACH,0.48
720575940638567396,T4c,,optic,intrinsic,left,ACH,0.41
720575940612418285,T5c,,optic,intrinsic,left,ACH,0.6
