FAFB,MAOL,MCNS
720575940610377028,142036,108107
720575940610382404,142172,108212
720575940610412078,142177,108226
720575940638458340,142540,108252
720575940640995536,142621,108263
720575940647971460,142626,108272
720575940638473050,142822,108293
720575940626123194,143028,108327
720575940632007224,143061,108330
720575940620833883,143142,108336
720575940620928390,144157,108350
720575940625276140,144564,108359
720575940625903335,144841,108413
720575940627248280,145128,108523
720575940633628256,145258,108688
720575940610428484,145453,108750
720575940610428996,145765,108842
720575940625253619,145922,108908
720575940630359875,146008,108917
720575940612845590,146032,108931
720575940627314238,146566,108951
720575940631752515,146584,109009
720575940635988984,146784,109017
720575940631994680,147023,109044
720575940610535236,147220,109152
720575940640106403,147405,109160
720575940610584110,147528,109178
720575940636061432,147584,109237
720575940610651694,148573,109442
720575940616493243,148696,109457
720575940610689173,149252,109639
720575940635292351,149389,109725
720575940624141064,149457,109777
720575940649880953,150268,109779
720575940624029437,150308,109818
720575940620159111,150358,109849
720575940638690118,150402,109933
720575940621063489,150467,109939
720575940627719496,150561,109962
720575940630237687,150594,110058
720575940633168083,150618,110085
720575940636105327,150722,110101
720575940610751608,150731,110136
720575940639065690,151612,110178
720575940637167205,151822,110195
720575940626987522,151857,110197
720575940627913220,152212,110240
720575940610841976,152264,110301
720575940612791318,152488,110318
720575940625489445,152741,110346
720575940634237375,153036,110350
720575940630383159,153053,110432
720575940628550087,153081,110469
720575940631508175,154024,110486
720575940618730325,154049,110549
720575940626796388,155367,110550
720575940616811220,155712,110597
720575940617611481,156202,110614
720575940635001445,156260,110631
720575940636835703,156268,110668
720575940623473895,156593,110717
720575940634106975,156860,110760
720575940646440739,157533,110811
720575940613867183,157898,110933
720575940629418690,157954,110986
720575940612994582,157978,110993
720575940622186561,157993,111005
720575940627908455,158331,111009
720575940639281717,158494,111031
720575940624876730,159072,111059
720575940612975530,159356,111081
720575940619862987,159496,111086
720575940650438009,159516,111152
720575940610977746,159544,111153
720575940610991834,159972,111202
720575940637918298,160081,111208
720575940611027810,160096,111228
720575940615757122,160179,111258
720575940619334966,160459,111276
720575940619906251,160537,111281
720575940625039335,160978,111366
720575940639606325,161072,111376
720575940611030574,161199,111390
720575940623250200,161575,111413
720575940625155080,162808,111479
720575940629538307,162969,111533
720575940611044910,163937,111546
720575940627490703,164253,111580
720575940611090073,164858,111617
720575940611091058,166131,111679
720575940617756283,167109,111712
720575940626951811,167568,111715
720575940618623181,170174,111751
720575940627724968,174724,111756
720575940621785727,175741,111832
720575940629637223,184925,111838
720575940611113592,191276,111863
720575940629152505,193779,111893
